Anchor_0,Anchor_1,Anchor_2,Anchor_3,Anchor_4
28.9689,6.52501,5.55513,2.84519,0.47905
28.9626,6.50393,5.91036,2.86411,0.241276
28.9303,6.51442,5.91173,2.90201,0.0641683
28.9584,6.52249,5.54017,3.16329,0.176461
28.8991,6.99353,5.93972,2.379,0.207324
28.8716,6.97251,5.71948,2.47847,0.285373
28.8668,6.4987,5.85557,2.48789,0.587526
28.8214,6.5387,5.64524,2.78548,0.245595
28.8349,6.50262,5.69537,2.37652,0.256959
28.8463,6.61267,5.64607,2.53248,0.108589
28.8442,6.88313,5.80152,3.00977,0.324131
28.8401,6.59098,5.71374,2.92321,0.237014
28.7939,6.41586,5.69382,2.4616,0.23511
28.8089,6.58598,5.70149,2.7463,0.312897
28.7552,6.67084,5.72911,2.89359,0.144269
28.7815,6.63265,5.81588,3.07858,0.286881
28.7052,6.4353,5.73708,2.6942,0.16749
28.7532,6.44595,5.68773,2.71053,0.228301
28.6103,6.90354,5.75917,3.05422,0.302981
28.6382,6.45395,5.69506,2.63915,0.181509
28.6546,6.46797,5.63105,2.65746,0.120553
28.645,6.91555,5.71241,2.87549,0.255501
28.583,6.93995,5.82614,2.68149,0.366353
Anchor_0,Anchor_1,Anchor_2,Anchor_3,Anchor_4
29.8936,6.58122,29.7836,2.93684,0.25
29.8936,6.58122,29.7836,2.93684,0.25
29.8936,6.58122,29.7836,2.93684,0.25
29.8936,6.58122,29.7836,2.93684,0.257006
29.8936,6.58122,29.7836,2.93684,0.222835
29.8936,6.58122,29.7836,2.93684,0.216224
29.8936,6.58122,29.7836,2.93684,0.216814
29.8936,6.58122,29.7836,2.93684,0.0848215
29.8936,6.58122,29.7836,2.93684,0.205389
29.8936,6.58122,29.7836,2.9604,0.284442
29.8936,6.58122,29.7836,2.95218,0.254896
29.8936,6.58122,29.7836,3.00968,0.241471
29.8936,6.58122,29.7836,3.05271,0.25925
29.8936,6.58122,29.7836,3.03776,0.0472855
29.8936,6.58122,29.7836,3.0285,0.314381
29.8936,6.58122,29.7836,2.98133,0.223827
29.8218,6.58122,29.7836,2.99647,0.166558
29.8129,6.58122,29.7836,2.99684,0.260019
29.7444,6.58122,29.7836,3.02703,0.218185
29.7168,6.58122,29.7836,3.0296,0.285565
29.7139,6.58122,29.7836,3.0859,0.39022
29.671,6.5947,29.7836,3.0146,0.174761
